El|(The, Masculine, Singular)|Grammatical Article
La|(The, Feminine, Singular)|Grammatical Article  
Los|(The, Masculine, Plural)|Grammatical Article  
Las|(The, Feminine, Plural)|Grammatical Article  
Que|(That, Than)|Grammatical Article  
Y|(And)|Grammatical Article  
A|(To, At)|Grammatical Article  
En|(In, On)|Grammatical Article  
Un|(A, Masculine)|Grammatical Article  
Una|(A, Feminine)|Grammatical Article  
Ser|(To Be (Permanent))|Verb  
Haber|(To Have)|Verb  
Estar|(To Be (Conditions))|Verb  
Decir|(To Say)|Verb  
Poder|(To Be Able To)|Verb  
Hacer|(To Do|Make)|Verb  
Ver|(To See)|Verb  
Dar|(To Give)|Verb  
Saber|(To Know)|Verb  
Nos|(Us)|Gramatical Article  
Llegar|(To Arrive)|Verb  
Quedar|(To Remain)|Verb  
Creer|(To Believe)|Verb  
Hablar|(To Talk)|Verb  
Llevar|(To Take)|Verb  
Dejar|(To Leave)|Verb  
Seguir|(To Continue)|Verb  
Encontrar|(To Find)|Verb  
Con|(With)|Preposition  
